player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,salary
Gary Trent Jr.,TOR,22,195.58,94.800728,Duke,USA,3,58,15.3,2.6,1.4,-1.8,0.014,0.069,0.204,0.534,0.067,2020-21,1.663861
Gary Harris,ORL,26,193.04,95.25432,Michigan State,USA,2,39,9.9,2,2,-4.2,0.019,0.054,0.164,0.511,0.102,2020-21,19.610713999999998
Gary Clark,PHI,26,198.12,102.0582,Cincinnati,USA,5,39,3.1,2.9,0.8,-7.7,0.044,0.125,0.097,0.436,0.064,2020-21,2.018458
Gabriel Deck,OKC,26,198.12,104.779752,,Argentina,5,10,8.4,4,2.4,-12.7,0.067,0.118,0.159,0.548,0.16,2020-21,3.87037
Garrett Temple,CHI,35,195.58,88.45044,Louisiana State,USA,5,56,7.6,2.9,2.2,1.5,0.019,0.082,0.126,0.525,0.104,2020-21,4.767
Gabe Vincent,MIA,25,190.5,90.7184,California-Santa Barbara,USA,5,50,4.8,1.1,1.3,-5.9,0.016,0.068,0.184,0.498,0.161,2020-21,0.66075
Frank Ntilikina,NYK,22,193.04,90.7184,,France,1,33,2.7,0.9,0.6,-3.6,0.019,0.077,0.134,0.512,0.095,2020-21,6.176578
George Hill,PHI,35,193.04,85.275296,Indiana-Purdue Indianapolis,USA,2,30,8.7,2,2.4,-0.4,0.023,0.063,0.161,0.596,0.156,2020-21,9.590602
Furkan Korkmaz,PHI,23,200.66,91.625584,,Turkey,2,55,9.1,2.1,1.5,6,0.015,0.09,0.195,0.544,0.111,2020-21,1.7627960000000003
Fred VanVleet,TOR,27,185.42,89.357624,Wichita State,USA,5,52,19.6,4.2,6.3,3.3,0.016,0.101,0.237,0.534,0.264,2020-21,21.25
Garrison Mathews,WAS,24,195.58,97.52228,Lipscomb,USA,5,64,5.5,1.4,0.4,-5.6,0.015,0.065,0.111,0.635,0.032,2020-21,0.688052
Georges Niang,UTA,28,200.66,104.32616,Iowa State,USA,4,72,6.9,2.4,0.8,14.6,0.024,0.117,0.169,0.602,0.071,2020-21,1.783557
Grayson Allen,MEM,25,193.04,89.811216,Duke,USA,2,50,10.6,3.2,2.2,0.5,0.014,0.106,0.164,0.586,0.116,2020-21,2.54532
Glenn Robinson III,SAC,27,198.12,100.697424,Michigan,USA,3,23,5.3,2,0.9,-17.3,0.028,0.094,0.135,0.554,0.075,2020-21,1.165322
Goga Bitadze,IND,21,210.82,113.398,,Georgia,2,45,5.1,3.3,0.8,-0.8,0.095,0.148,0.169,0.523,0.087,2020-21,2.9575199999999997
Goran Dragic,MIA,35,190.5,86.18248,,Slovenia,4,50,13.4,3.4,4.4,1.5,0.019,0.107,0.239,0.552,0.26,2020-21,18
Gordon Hayward,CHA,31,200.66,102.0582,Butler,USA,1,44,19.6,5.9,4.1,0.7,0.024,0.143,0.235,0.584,0.189,2020-21,28.5
Gorgui Dieng,SAS,31,208.28,114.305184,Louisville,Senegal,2,38,6.8,3.7,1.3,-6.7,0.068,0.181,0.169,0.67,0.13,2020-21,17.587688
Grant Williams,BOS,22,198.12,107.047712,Tennessee,USA,2,63,4.7,2.8,1,-1.9,0.04,0.113,0.12,0.546,0.079,2020-21,2.49876
Hamidou Diallo,DET,22,195.58,91.625584,Kentucky,USA,4,52,11.6,5.2,1.9,-8.6,0.046,0.161,0.218,0.541,0.133,2020-21,1.663861
Harrison Barnes,SAC,29,203.2,102.0582,North Carolina,USA,1,58,16.1,6.6,3.5,-1.8,0.031,0.152,0.169,0.626,0.128,2020-21,22.215909
Hassan Whiteside,SAC,32,213.36,120.20188,Marshall,USA,3,36,8.1,6,0.6,-8.1,0.109,0.269,0.227,0.566,0.058,2020-21,2.320044
Giannis Antetokounmpo,MIL,26,210.82,109.769264,,Greece,2,61,28.1,11,5.9,9.8,0.048,0.264,0.32,0.633,0.282,2020-21,27.528088000000004
Frank Kaminsky,PHX,28,213.36,108.86208,Wisconsin,USA,1,47,6.6,4,1.7,4.6,0.051,0.208,0.185,0.547,0.154,2020-21,1.737145
Dorian Finney-Smith,DAL,28,200.66,99.79024,Florida,USA,5,60,9.8,5.4,1.7,5.1,0.052,0.116,0.12,0.609,0.07,2020-21,4
Facundo Campazzo,DEN,30,177.8,88.45044,,Argentina,5,65,6.1,2.1,3.6,2.8,0.015,0.081,0.128,0.558,0.215,2020-21,3.2
Ignas Brazdeikis,ORL,22,198.12,100.243832,Michigan,Canada,4,13,7,3.5,1.3,-4.3,0.041,0.129,0.171,0.51,0.1,2020-21,1.686315
Dewayne Dedmon,MIA,31,213.36,111.13004,Southern California,USA,5,16,7.1,5.4,0.8,17.1,0.137,0.282,0.183,0.735,0.083,2020-21,3.4474780000000003
Dillon Brooks,MEM,25,200.66,102.0582,Oregon,Canada,4,67,17.2,2.9,2.3,4.5,0.026,0.069,0.256,0.515,0.112,2020-21,11.4
Domantas Sabonis,IND,25,210.82,108.86208,Gonzaga,Lithuania,1,62,20.3,12,6.7,-1.9,0.066,0.259,0.239,0.601,0.283,2020-21,19.8
Donovan Mitchell,UTA,24,185.42,97.52228,Louisville,USA,1,53,26.4,4.4,5.2,7.9,0.028,0.095,0.327,0.569,0.266,2020-21,5.195501
Donte DiVincenzo,MIL,24,193.04,92.079176,Villanova,USA,2,66,10.4,5.8,3.1,8.1,0.043,0.155,0.163,0.542,0.137,2020-21,3.04416
Doug McDermott,IND,29,200.66,102.0582,Creighton,USA,1,66,13.6,3.3,1.3,-1.8,0.036,0.096,0.194,0.635,0.075,2020-21,7.3333330000000005
Draymond Green,GSW,31,198.12,104.32616,Michigan State,USA,3,63,7,7.1,8.9,5.4,0.028,0.184,0.128,0.53,0.345,2020-21,22.246956
Drew Eubanks,SAS,24,205.74,111.13004,Oregon State,USA,5,54,5.8,4.5,0.8,-4.6,0.09,0.207,0.166,0.618,0.086,2020-21,1.620564
Duncan Robinson,MIA,27,200.66,97.52228,Michigan,USA,5,72,13.1,3.5,1.8,2.3,0.003,0.109,0.162,0.628,0.082,2020-21,1.663861
Frank Jackson,DET,23,190.5,92.98636,Duke,USA,3,40,9.8,2.2,0.9,-1,0.021,0.092,0.207,0.598,0.079,2020-21,0.699115
Dwayne Bacon,ORL,25,198.12,100.243832,Florida State,USA,3,72,10.9,3.1,1.3,-11.4,0.015,0.102,0.193,0.49,0.08,2020-21,1.678854
Dwight Powell,DAL,29,208.28,108.86208,Stanford,Canada,4,58,5.9,4,1.1,4,0.086,0.158,0.129,0.688,0.09,2020-21,11.080124999999999
Dylan Windler,CLE,24,198.12,88.904032,Belmont,USA,2,31,5.2,3.5,1.1,-6.5,0.039,0.171,0.14,0.567,0.089,2020-21,2.1374400000000002
E'Twaun Moore,PHX,32,190.5,86.636072,Purdue,USA,4,27,4.9,1.7,1.5,0.5,0.035,0.08,0.164,0.523,0.14,2020-21,2.3315930000000002
Ed Davis,MIN,32,205.74,98.883056,North Carolina,USA,1,23,2.1,5,0.9,-7.6,0.127,0.235,0.078,0.487,0.1,2020-21,5.00535
Edmond Sumner,IND,25,193.04,88.904032,Xavier,USA,4,53,7.5,1.8,0.9,-0.4,0.02,0.083,0.176,0.626,0.075,2020-21,2.16
Elfrid Payton,NYK,27,190.5,88.45044,Louisana-Lafayette,USA,1,63,10.1,3.4,3.2,-3,0.041,0.098,0.224,0.478,0.209,2020-21,4.767
Elijah Hughes,UTA,23,195.58,97.52228,Syracuse,USA,3,18,1.7,0.5,0.3,-28.8,0.014,0.119,0.242,0.488,0.158,2020-21,0.89831
Enes Kanter,POR,29,208.28,113.398,,Turkey,1,72,11.2,11,1.2,4.9,0.148,0.281,0.169,0.636,0.069,2020-21,5.00535
Eric Bledsoe,NOP,31,185.42,97.068688,Kentucky,USA,2,71,12.2,3.4,3.8,-1.8,0.013,0.1,0.181,0.533,0.17,2020-21,16.875
Eric Gordon,HOU,32,190.5,97.52228,Indiana,USA,1,27,17.8,2.1,2.6,-3.3,0.009,0.062,0.246,0.577,0.147,2020-21,16.869267
Eric Paschall,GSW,24,198.12,115.66596,Villanova,USA,3,40,9.5,3.2,1.3,-6.8,0.038,0.138,0.234,0.561,0.125,2020-21,1.517981
Ersan Ilyasova,UTA,34,205.74,106.59412,,Turkey,3,17,3.8,1.7,0.2,6.7,0.047,0.143,0.19,0.578,0.04,2020-21,1.194542
Evan Fournier,BOS,28,200.66,92.98636,,France,2,42,17.1,3,3.4,-1.4,0.007,0.094,0.222,0.598,0.17,2020-21,17.15
Dwight Howard,PHI,35,208.28,120.20188,,USA,1,69,7,8.4,0.9,-2.4,0.148,0.309,0.173,0.61,0.076,2020-21,2.564753
Iman Shumpert,BKN,31,195.58,96.161504,Georgia Tech,USA,2,2,1,0.5,0,-4.3,0.077,0,0.185,0.25,0,2020-21,0.8030440000000001
Jayson Tatum,BOS,23,203.2,95.25432,Duke,USA,1,64,26.4,7.4,4.3,3,0.021,0.188,0.298,0.576,0.196,2020-21,9.89712
Isaac Bonga,WAS,21,203.2,81.64656,,Germany,3,40,2,1.7,0.6,-3.3,0.042,0.1,0.101,0.461,0.072,2020-21,1.663861
Jaren Jackson Jr.,MEM,21,210.82,109.769264,Michigan State,USA,1,11,14.4,5.6,1.1,-10.5,0.06,0.164,0.252,0.551,0.074,2020-21,7.25736
Jarred Vanderbilt,MIN,22,205.74,97.068688,Kentucky,USA,3,64,5.4,5.8,1.2,-1.1,0.096,0.211,0.118,0.612,0.091,2020-21,1.663861
Jarrell Brantley,UTA,25,195.58,113.398,College of Charleston,USA,4,28,2.3,1,0.5,-9.1,0.059,0.125,0.182,0.605,0.17,2020-21,0.510586
Jarrett Allen,CLE,23,210.82,110.222856,Texas-Austin,USA,2,63,12.8,10,1.7,-5.6,0.106,0.232,0.163,0.661,0.087,2020-21,3.909902
Jarrett Culver,MIN,22,198.12,88.45044,Texas Tech,USA,1,34,5.3,3.1,0.7,-10.7,0.059,0.132,0.179,0.476,0.079,2020-21,6.10428
Javonte Green,CHI,27,193.04,92.98636,Radford,USA,5,41,3.6,1.7,0.4,1.8,0.056,0.1,0.122,0.61,0.048,2020-21,1.517981
Jaxson Hayes,NOP,21,210.82,99.79024,Texas-Austin,USA,1,60,7.5,4.3,0.6,-0.9,0.087,0.161,0.156,0.675,0.057,2020-21,5.10516
Jaylen Brown,BOS,24,198.12,101.151016,California,USA,1,58,24.7,6,3.4,1.8,0.035,0.136,0.29,0.586,0.162,2020-21,25.035118
Jaylen Nowell,MIN,21,193.04,91.171992,Washington,USA,4,42,9,2.3,1.5,-6.6,0.022,0.098,0.206,0.528,0.13,2020-21,1.517981
Jeff Green,BKN,34,203.2,106.59412,Georgetown,USA,1,68,11,3.9,1.6,3.3,0.019,0.116,0.154,0.624,0.08,2020-21,2.564753
Jeff Teague,MIL,33,190.5,88.45044,Wake Forest,USA,2,55,6.7,1.6,2.4,2.8,0.016,0.074,0.174,0.562,0.182,2020-21,3.372826
Jared Harper,NYK,23,177.8,79.3786,Auburn,USA,5,8,0.4,0.3,0.1,-16.4,0,0.091,0.2,0.26,0.125,2020-21,0.5204869999999999
Jerami Grant,DET,27,203.2,95.25432,Syracuse,USA,3,54,22.3,4.6,2.8,-3.2,0.018,0.118,0.278,0.556,0.145,2020-21,19.05
Jeremy Lamb,IND,29,195.58,81.64656,Connecticut,USA,1,36,10.1,3.6,1.5,-0.3,0.032,0.137,0.18,0.587,0.094,2020-21,10.5
Jerome Robinson,WAS,24,193.04,86.18248,Boston College,USA,1,17,4.9,2.2,1.5,-13.1,0.011,0.105,0.161,0.4,0.114,2020-21,3.73752
Jevon Carter,PHX,25,185.42,90.7184,West Virginia,USA,3,60,4.1,1.5,1.2,3.3,0.022,0.107,0.146,0.548,0.136,2020-21,3.925
Jimmy Butler,MIA,31,200.66,104.32616,Marquette,USA,3,52,21.5,6.9,7.1,5.2,0.056,0.153,0.259,0.607,0.345,2020-21,34.3791
Joe Harris,BKN,29,198.12,99.79024,Virginia,USA,3,69,14.1,3.6,1.9,6.9,0.021,0.09,0.157,0.663,0.081,2020-21,16.071429000000002
Joe Ingles,UTA,33,203.2,99.79024,,Australia,5,67,12.1,3.6,4.7,11.8,0.014,0.108,0.162,0.672,0.238,2020-21,10.363637
Joel Embiid,PHI,27,213.36,127.00576,Kansas,Cameroon,1,51,28.5,10.6,2.8,12,0.078,0.254,0.352,0.636,0.156,2020-21,29.542009999999998
John Collins,ATL,23,205.74,106.59412,Wake Forest,USA,2,63,17.6,7.4,1.2,4.3,0.064,0.183,0.214,0.645,0.065,2020-21,4.137302
John Konchar,MEM,25,195.58,95.25432,Indiana-Purdue Fort Wayne,USA,5,43,4.3,3,1.1,2.1,0.057,0.161,0.124,0.608,0.111,2020-21,2.1
John Wall,HOU,30,190.5,95.25432,Kentucky,USA,1,40,20.6,3.2,6.9,-5.7,0.012,0.084,0.316,0.503,0.365,2020-21,41.25492
Jonas Valanciunas,MEM,29,210.82,120.20188,,Lithuania,1,62,17.1,12.5,1.8,3.8,0.134,0.289,0.217,0.636,0.097,2020-21,15
Jontay Porter,MEM,21,210.82,108.86208,Missouri,USA,5,11,2,1.3,0.1,0.9,0.065,0.149,0.182,0.64,0.033,2020-21,1.9
Jordan Bell,GSW,26,203.2,97.975872,Oregon,USA,3,6,2.5,4,1.2,-17,0.069,0.189,0.14,0.328,0.13,2020-21,0.592368
Immanuel Quickley,NYK,22,190.5,86.18248,Kentucky,USA,2,64,11.4,2.1,2,7.1,0.02,0.086,0.246,0.557,0.164,2020-21,2.10552
Jared Dudley,LAL,35,198.12,107.501304,Boston College,USA,2,12,0.5,1.8,0.4,-1.7,0.047,0.213,0.056,0.333,0.081,2020-21,2.564753
Isaac Okoro,CLE,20,195.58,102.0582,Auburn,USA,1,67,9.6,3.1,1.9,-8.7,0.031,0.066,0.142,0.514,0.086,2020-21,6.400920000000001
Isaiah Hartenstein,CLE,23,213.36,113.398,,Germany,4,46,5.1,3.9,1.2,2.1,0.114,0.207,0.187,0.583,0.147,2020-21,1.620564
Isaiah Joe,PHI,21,193.04,74.84268,Arkansas,USA,4,41,3.7,0.9,0.5,1.8,0.014,0.083,0.163,0.533,0.072,2020-21,0.89831
Isaiah Roby,OKC,23,203.2,104.32616,Nebraska-Lincoln,USA,4,61,8.7,5.6,1.8,-14.1,0.057,0.169,0.171,0.555,0.118,2020-21,1.517981
Isaiah Stewart,DET,20,203.2,113.398,Washington,USA,2,68,7.9,6.7,0.9,-2,0.105,0.193,0.15,0.597,0.064,2020-21,3.12108
Ivica Zubac,LAC,24,213.36,108.86208,,Croatia,3,72,9,7.2,1.3,5,0.121,0.2,0.147,0.693,0.079,2020-21,7
JJ Redick,DAL,37,190.5,90.7184,Duke,USA,1,44,7.4,1.5,1.2,-1.3,0.006,0.082,0.184,0.564,0.098,2020-21,13.0137
Ja Morant,MEM,21,190.5,78.925008,Murray State,USA,1,63,19.1,4,7.4,2.6,0.027,0.091,0.267,0.537,0.321,2020-21,9.1668
JaKarr Sampson,IND,28,200.66,97.068688,St. John's,USA,5,29,4.6,2.7,0.1,1.1,0.08,0.145,0.177,0.533,0.017,2020-21,1.8828669999999998
JaMychal Green,DEN,31,203.2,102.965384,Alabama,USA,5,58,8.1,4.8,0.9,4.1,0.072,0.177,0.172,0.59,0.07,2020-21,7.19976
JaVale McGee,DEN,33,213.36,122.46984,Nevada-Reno,USA,2,46,7.3,5.2,0.8,-6.1,0.105,0.231,0.228,0.541,0.098,2020-21,4.2
Jabari Parker,BOS,26,203.2,111.13004,Duke,USA,1,13,5.5,3.2,0.8,-5.5,0.056,0.18,0.175,0.593,0.105,2020-21,6.9307289999999995
James Wiseman,GSW,20,213.36,108.86208,Memphis,USA,1,39,11.5,5.8,0.7,-8.8,0.063,0.19,0.231,0.552,0.05,2020-21,8.73024
Jaden McDaniels,MIN,20,205.74,83.91452,Washington,USA,2,63,6.8,3.7,1.1,-3.4,0.032,0.118,0.118,0.552,0.064,2020-21,1.96476
Jae'Sean Tate,HOU,25,193.04,104.32616,Ohio State,USA,5,70,11.3,5.3,2.5,-3.8,0.06,0.118,0.161,0.576,0.127,2020-21,1.445697
Jahlil Okafor,DET,25,208.28,122.46984,Duke,USA,1,27,5.4,2.4,0.5,-10.2,0.07,0.119,0.17,0.644,0.066,2020-21,1.8828669999999998
Jahmi'us Ramsey,SAC,20,190.5,86.18248,Texas Tech,USA,4,13,3.1,0.8,0.5,2.4,0.019,0.08,0.183,0.498,0.088,2020-21,1
Jake Layman,MIN,27,203.2,94.800728,Maryland,USA,4,45,5.1,1.5,0.6,-5.8,0.019,0.083,0.147,0.577,0.067,2020-21,3.761085
Jakob Poeltl,SAS,25,215.9,111.13004,Utah,Austria,1,69,8.6,7.9,1.9,3.2,0.114,0.173,0.13,0.612,0.096,2020-21,8.101852
Jalen Brunson,DAL,24,185.42,86.18248,Villanova,USA,3,68,12.6,3.4,3.5,4.9,0.016,0.117,0.196,0.618,0.215,2020-21,1.663861
Jalen Harris,TOR,22,195.58,88.45044,Nevada,USA,5,13,7.4,1.4,1.3,0.3,0.017,0.091,0.219,0.632,0.153,2020-21,0.44911500000000004
Jalen Lecque,IND,21,193.04,83.91452,,USA,5,4,1.3,1.3,0.5,-14.8,0.083,0.2,0.263,0.242,0.333,2020-21,1.517981
Jalen McDaniels,CHA,23,205.74,92.98636,San Diego State,USA,4,47,7.4,3.6,1.1,-9.4,0.047,0.138,0.169,0.554,0.09,2020-21,1.517981
Jalen Smith,PHX,21,208.28,97.52228,Maryland,USA,1,27,2,1.4,0.1,-4.4,0.044,0.174,0.161,0.499,0.037,2020-21,4.24572
Jamal Murray,DEN,24,190.5,97.52228,Kentucky,Canada,1,48,21.2,4,4.8,8,0.023,0.095,0.244,0.592,0.197,2020-21,27.285000000000004
James Harden,BKN,31,195.58,99.79024,Arizona State,USA,1,44,24.6,7.9,10.8,2.9,0.023,0.191,0.283,0.618,0.442,2020-21,41.25492
James Johnson,NOP,34,200.66,108.86208,Wake Forest,USA,2,51,7.2,3.5,1.9,-5,0.029,0.131,0.166,0.51,0.134,2020-21,16.0471
Jae Crowder,PHX,30,198.12,106.59412,Marquette,USA,3,60,10.1,4.7,2.1,6.3,0.02,0.146,0.152,0.574,0.102,2020-21,9.258
Devin Vassell,SAS,20,195.58,90.7184,Florida State,USA,1,62,5.5,2.8,0.9,-2.4,0.021,0.138,0.138,0.524,0.071,2020-21,4.033440000000001
Bam Adebayo,MIA,23,205.74,115.66596,Kentucky,USA,1,64,18.7,9,5.4,0.6,0.07,0.204,0.233,0.626,0.267,2020-21,5.115492
Devin Booker,PHX,24,195.58,93.439952,Kentucky,USA,1,67,25.6,4.2,4.3,7.2,0.016,0.108,0.319,0.587,0.2,2020-21,29.4678
Ben McLemore,LAL,28,190.5,88.45044,Kansas,USA,1,53,7.7,1.9,0.7,-4.2,0.015,0.091,0.192,0.523,0.064,2020-21,2.89363
Ben Simmons,PHI,24,210.82,108.86208,Louisiana State,Australia,1,58,14.3,7.2,6.9,8,0.051,0.166,0.2,0.584,0.308,2020-21,30.559199999999997
Bismack Biyombo,CHA,28,203.2,115.66596,,DRC,1,66,5,5.3,1.2,-8.9,0.094,0.15,0.113,0.574,0.087,2020-21,3.5
Blake Griffin,BKN,32,205.74,113.398,Oklahoma,USA,1,46,11,4.9,3,2.1,0.029,0.159,0.191,0.546,0.171,2020-21,33.900241
Boban Marjanovic,DAL,32,223.52,131.54168,,Serbia,5,33,4.7,3.9,0.3,5.9,0.159,0.291,0.231,0.562,0.06,2020-21,3.5
Bobby Portis,MIL,26,208.28,113.398,Arkansas,USA,2,66,11.4,7.1,1.1,5.1,0.085,0.229,0.202,0.598,0.075,2020-21,3.6229999999999998
Bogdan Bogdanovic,ATL,28,198.12,99.79024,,Serbia,2,44,16.4,3.6,3.3,3.9,0.016,0.104,0.21,0.616,0.169,2020-21,18
Bojan Bogdanovic,UTA,32,200.66,102.511792,,Croatia,3,72,17,3.9,1.9,9.5,0.018,0.099,0.225,0.588,0.091,2020-21,17.85
Bol Bol,DEN,21,218.44,99.79024,Oregon,Sudan,4,32,2.2,0.8,0.2,-24.9,0,0.154,0.191,0.534,0.067,2020-21,2.05824
Brad Wanamaker,CHA,31,190.5,95.25432,Pittsburgh,USA,5,61,5.5,1.7,2.9,-5.7,0.016,0.08,0.166,0.489,0.251,2020-21,2.25
Bradley Beal,WAS,28,190.5,93.893544,Florida,USA,1,60,31.3,4.7,4.4,-0.4,0.033,0.094,0.331,0.593,0.202,2020-21,28.751774
Brandon Clarke,MEM,24,203.2,97.52228,Gonzaga,Canada,2,59,10.3,5.6,1.6,0.2,0.064,0.16,0.167,0.56,0.094,2020-21,2.60292
Avery Bradley,HOU,30,190.5,81.64656,Texas-Austin,USA,2,27,6.4,2.1,1.7,-10.2,0.013,0.078,0.146,0.487,0.108,2020-21,5.635
Brandon Goodwin,ATL,25,182.88,81.64656,Florida Gulf Coast,USA,5,47,4.9,1.5,2,-4.4,0.012,0.097,0.19,0.471,0.246,2020-21,1.7015930000000001
Brook Lopez,MIL,33,213.36,127.912944,Stanford,USA,1,70,12.3,5,0.7,6.8,0.054,0.115,0.166,0.611,0.033,2020-21,12.697675
Bruce Brown,BKN,24,193.04,91.625584,Miami,USA,3,65,8.8,5.4,1.6,3.5,0.081,0.154,0.157,0.604,0.099,2020-21,1.663861
Bruno Caboclo,HOU,25,205.74,98.883056,,Brazil,2,6,2.8,2.3,0.2,2.3,0.064,0.268,0.232,0.475,0.048,2020-21,2.028594
Bruno Fernando,ATL,22,205.74,108.86208,Maryland,Angola,3,33,1.5,2.4,0.3,-6,0.066,0.256,0.133,0.475,0.069,2020-21,1.517981
Bryn Forbes,MIL,27,187.96,92.98636,Michigan State,USA,5,70,10,1.6,0.6,2.7,0.008,0.069,0.18,0.631,0.045,2020-21,2.337145
Buddy Hield,SAC,28,193.04,99.79024,Oklahoma,Bahamas,1,71,16.6,4.7,3.6,-1.8,0.012,0.126,0.201,0.567,0.141,2020-21,24.931817000000002
CJ Elleby,POR,21,198.12,90.7184,Washington State,USA,4,30,2.3,1.1,0.3,-5.3,0.049,0.089,0.16,0.468,0.076,2020-21,0.89831
CJ McCollum,POR,29,190.5,86.18248,Lehigh,USA,1,47,23.1,3.9,4.7,6.2,0.018,0.099,0.265,0.577,0.22,2020-21,29.354152
Caleb Martin,CHA,25,195.58,92.98636,Nevada-Reno,USA,5,53,5,2.7,1.3,-4.9,0.036,0.125,0.164,0.465,0.123,2020-21,1.517981
Cam Reddish,ATL,21,203.2,98.883056,Duke,USA,1,26,11.2,4,1.3,-4,0.028,0.109,0.183,0.488,0.066,2020-21,4.458
Cameron Johnson,PHX,25,203.2,95.25432,North Carolina,USA,1,60,9.6,3.3,1.4,5.7,0.023,0.118,0.164,0.563,0.083,2020-21,4.23516
Brandon Ingram,NOP,23,203.2,86.18248,Duke,USA,1,61,23.8,4.9,4.9,1,0.016,0.126,0.279,0.584,0.218,2020-21,27.285000000000004
Cameron Payne,PHX,26,185.42,83.007336,Murray State,USA,1,60,8.4,2.4,3.6,7.8,0.016,0.119,0.193,0.602,0.281,2020-21,1.9770109999999999
Austin Rivers,DEN,28,193.04,90.7184,Duke,USA,1,36,7.9,2.3,2.3,0,0.009,0.088,0.15,0.551,0.136,2020-21,3.929049
Aron Baynes,TOR,34,208.28,117.93392,Washington State,Australia,5,53,6.1,5.2,0.9,-4.4,0.082,0.192,0.157,0.503,0.07,2020-21,7
Zion Williamson,NOP,20,200.66,128.820128,Duke,USA,1,61,27,7.2,3.7,2.1,0.081,0.131,0.287,0.649,0.188,2020-21,10.24548
Aaron Gordon,DEN,25,203.2,106.59412,Arizona,USA,1,50,12.4,5.7,3.2,2.1,0.055,0.15,0.204,0.547,0.165,2020-21,18.136364
Aaron Holiday,IND,24,182.88,83.91452,UCLA,USA,2,66,7.2,1.3,1.9,-0.2,0.012,0.06,0.189,0.503,0.139,2020-21,2.34564
Aaron Nesmith,BOS,21,195.58,97.52228,Vanderbilt,USA,1,46,4.7,2.8,0.5,-0.5,0.041,0.146,0.133,0.573,0.047,2020-21,3.4584
Abdel Nader,PHX,27,195.58,102.0582,Iowa State,Egypt,5,24,6.7,2.6,0.8,5,0.02,0.151,0.183,0.605,0.078,2020-21,1.7529499999999998
Al Horford,BOS,35,205.74,108.86208,Florida,Dominican Republic,1,28,14.2,6.7,3.4,-6.9,0.034,0.195,0.221,0.538,0.206,2020-21,27.5
Al-Farouq Aminu,CHI,30,203.2,99.79024,Wake Forest,USA,1,23,4.4,4.8,1.3,-6.2,0.05,0.2,0.138,0.469,0.101,2020-21,9.7209
Alec Burks,NYK,29,198.12,97.068688,Colorado,USA,1,49,12.7,4.6,2.2,5,0.016,0.156,0.208,0.564,0.135,2020-21,6
Aleksej Pokusevski,OKC,19,213.36,86.18248,,Serbia,2,45,8.2,4.7,2.2,-16.7,0.025,0.155,0.197,0.43,0.133,2020-21,2.9648399999999997
Alen Smailagic,GSW,20,208.28,97.52228,,Serbia,3,15,1.9,1.1,0.3,-17.6,0.065,0.111,0.165,0.472,0.078,2020-21,1.517981
Alex Caruso,LAL,27,193.04,84.368112,Texas A&M,USA,5,58,6.4,2.9,2.8,5.5,0.025,0.114,0.144,0.547,0.19,2020-21,2.75
Alex Len,WAS,28,213.36,113.398,Maryland,Ukraine,1,64,6.6,4.1,0.8,-4,0.077,0.174,0.161,0.643,0.069,2020-21,3.9706479999999997
Alfonzo McKinnie,LAL,28,200.66,97.52228,Wisconsin-Green Bay,USA,5,39,3.1,1.4,0.2,0.7,0.076,0.113,0.164,0.604,0.036,2020-21,1.7627960000000003
Alize Johnson,BKN,25,200.66,96.161504,Missouri State,USA,4,18,5.2,5,0.8,-4.5,0.127,0.32,0.175,0.638,0.11,2020-21,0.621587
Amir Coffey,LAC,24,200.66,95.25432,Minnesota,USA,5,44,3.2,1,0.5,-1.2,0.023,0.081,0.145,0.585,0.09,2020-21,0.5788420000000001
Anderson Varejao,CLE,38,210.82,117.93392,,Brazil,3,5,2.6,4,0.6,-37.6,0.146,0.342,0.228,0.326,0.15,2020-21,2.141713
Andre Drummond,LAL,27,208.28,126.552168,Connecticut,USA,1,46,14.9,12,2,-3.9,0.132,0.336,0.269,0.519,0.124,2020-21,28.751774
Andre Iguodala,MIA,37,198.12,97.52228,Arizona,USA,1,63,4.4,3.5,2.3,-2.5,0.03,0.134,0.109,0.519,0.153,2020-21,15
Andrew Wiggins,GSW,26,200.66,89.357624,Kansas,Canada,1,71,18.6,4.9,2.4,-0.2,0.034,0.106,0.229,0.568,0.11,2020-21,29.542009999999998
Anfernee Simons,POR,22,190.5,82.100152,,USA,2,64,7.8,2.2,1.4,0.8,0.012,0.109,0.18,0.589,0.117,2020-21,2.25204
Anthony Davis,LAL,28,208.28,114.758776,Kentucky,USA,1,36,21.8,7.9,3.1,5.2,0.054,0.198,0.287,0.556,0.154,2020-21,32.742000000000004
Anthony Edwards,MIN,19,193.04,102.0582,Georgia,USA,1,72,19.3,4.7,2.9,-5,0.023,0.121,0.264,0.523,0.142,2020-21,9.757439999999999
Anthony Gill,WAS,28,200.66,104.32616,Virginia,USA,5,26,3.1,2,0.4,-1.6,0.074,0.151,0.143,0.597,0.073,2020-21,0.89831
Anthony Tolliver,PHI,36,203.2,108.86208,Creighton,USA,5,11,1.5,0.9,0.2,16.6,0.028,0.071,0.09,0.433,0.025,2020-21,0.614838
Caris LeVert,IND,26,198.12,92.98636,Michigan,USA,2,47,20.2,4.6,5.2,-0.2,0.022,0.111,0.279,0.531,0.255,2020-21,16.203704
Carmelo Anthony,POR,37,200.66,107.954896,Syracuse,USA,1,69,13.4,3.1,1.5,-0.6,0.017,0.107,0.228,0.547,0.097,2020-21,2.564753
